"jmdict_seq","kanji","kana","waller_definition","origin","original"
1589110,"押し入れ","おしいれ","closet","waller",
1002170,"お嬢さん","おじょうさん","young lady","waller",
1002400,"お宅","おたく","(polite) your house","waller",
1548550,"落る","おちる","to fall or drop","waller",
1238840,,"おっしゃる","(respectful) to say","waller",
1496480,"夫","おっと","husband","waller",
1270550,,"おつり","change from purchase, balance","waller",
1576900,"音","おと","sound,note","waller",
1589260,"落す","おとす","to drop","waller",
1546880,"踊り","おどり","a dance","waller",
1538440,"踊る","おどる","to dance","waller",
1238680,"驚く","おどろく","to be surprised","waller",
1604135,"お祭り","おまつり","festival","waller",
1001870,"お見舞い","おみまい","calling on someone who is ill,enquiry","waller",
1002500,"お土産","おみやげ","souvenir","waller",
1309260,"思い出す","おもいだす","to remember","waller",
1589350,"思う","おもう","to think,to feel","waller",
1217070,,"おもちゃ","toy","waller",
1489340,"表","おもて","the front","waller",
1365040,"親","おや","parents","waller",
1589500,"下りる","おりる","to get off","waller",
1385910,"折る","おる","to break or to fold","waller",
1270810,"お礼","おれい","expression of gratitude","waller",
1385920,"折れる","おれる","to break or be folded","waller",
1589590,"終わり","おわり","the end","waller",
1036290,,"カーテン","curtain","waller",
1201280,"海岸","かいがん","coast","waller",
1198360,"会議","かいぎ","meeting","waller",
1198380,"会議室","かいぎしつ","meeting room","waller",
1198660,"会場","かいじょう","assembly hall or meeting place","waller",
1198880,"会話","かいわ","conversation","waller",
1221250,"帰り","かえり","return","waller",
1510650,"変える","かえる","to change","waller",
1192700,"科学","かがく","science","waller",
1238550,"鏡","かがみ","mirror","waller",
1357210,"飾る","かざる","to decorate","waller",
1193950,"火事","かじ","fire","waller",
1040060,,"ガス","petrol","waller",
1040250,,"ガソリン","petrol","waller",
1040260,,"ガソリンスタンド","petrol station","waller",
1257110,"堅い","かたい","hard","waller",
1257110,"硬い","かたい","hard","waller",
1257110,"固い","かたい","hard","waller",
1250220,"形","かたち","shape","waller",
1511790,"片付ける","かたづける","to tidy up","waller",
1195840,"課長","かちょう","section manager","waller",
1346150,"勝つ","かつ","to win","waller",
1590480,"格好","かっこう","appearance","waller",
1192420,"家内","かない","housewife","waller",
1483190,"悲しい","かなしい","sad","waller",
1487400,"必ず","かならず","certainly,necessarily","waller",
2429350,"お金持ち","おかねもち","rich man","waller",
1242970,"金持ち","かねもち","rich man","waller",
1483150,"彼女","かのじょ","she,girlfriend","waller",
1509290,"壁","かべ","wall","waller",
1279680,,"かまう","to mind","waller",
1477950,"髪","かみ","hair","waller",
1209240,"噛む","かむ","to bite,to chew","waller",
1432850,"通う","かよう","to commute","waller",
1040380,,"ガラス","a glass pane","waller",
1483070,"彼","かれ","he,boyfriend","waller",
1483090,"彼ら","かれら","they","waller",
1209650,"乾く","かわく","to get dry","waller",
1590770,"代わり","かわり","substitute,alternate","waller",
1510790,"変わる","かわる","to change","waller",
1281020,"考える","かんがえる","to consider","waller",
1215810,"関係","かんけい","relationship","waller",
1213870,"看護婦","かんごふ","female nurse","waller",
1214330,"簡単","かんたん","simple","waller",
1221520,"気","き","spirit,mood","waller",
1220800,"機会","きかい","opportunity","waller",
1218560,"危険","きけん","danger","waller",
1591150,"聞こえる","きこえる","to be heard","waller",
1222700,"汽車","きしゃ","steam train","waller",
1225130,"技術","ぎじゅつ","art,technology,skill","waller",
1222840,"季節","きせつ","season","waller",
1223021,"規則","きそく","regulations","waller",
1003430,,"きっと","surely","waller",
1258710,"絹","きぬ","silk","waller",
1262530,"厳しい","きびしい","strict","waller",
1222590,"気分","きぶん","mood","waller",
1591420,"決る","きまる","to be decided","waller",
1247250,"君","きみ","(informal) You (used by men towards women)","waller",
1254180,"決める","きめる","to decide","waller",
1591430,"気持ち","きもち","feeling,mood","waller",
1423240,"着物","きもの","kimono","waller",
1226630,"客","きゃく","guest,customer","waller",
1228560,"急","きゅう","urgent, steep","waller",
1228690,"急行","きゅうこう","speedy, express","waller",
1236950,"教育","きょういく","education","waller",
1237030,"教会","きょうかい","church","waller",
1234140,"競争","きょうそう","competition","waller",
1238410,"興味","きょうみ","an interest","waller",
1242350,"近所","きんじょ","neighbourhood","waller",
1592500,"具合","ぐあい","condition,health","waller",
1245470,"空気","くうき","air,atmosphere","waller",
1245570,"空港","くうこう","airport","waller",
1401910,"草","くさ","grass","waller",
1184280,,"くださる","(respectful) to give","waller",
1592270,"首","くび","neck","waller",
1173100,"雲","くも","cloud","waller",
1483540,"比べる","くらべる","to compare","waller",
1269130,"呉れる","くれる","to give","waller",
1514960,"暮れる","くれる","to get dark,to come to an end","waller",
1247260,"君","くん","suffix for familiar young male","waller",
1533820,"毛","け","hair or fur","waller",
1252090,"計画","けいかく","to plan","waller",
1251270,"経験","けいけん","to experience","waller",
1251320,"経済","けいざい","finance,economy","waller",
1252390,"警察","けいさつ","police","waller",
1047860,,"ケーキ","cake","waller",
1200220,"怪我","けが","to injure","waller",
1250870,"景色","けしき","scene,landscape","waller",
1350080,"消しゴム","けしゴム","eraser","waller",
1185290,"下宿","げしゅく","lodging","waller",
1254130,"決して","けっして","never","waller",
2853889,,"けれど","however","waller",
2853889,,"けれども","however","waller",
1261190,"原因","げんいん","cause,source","waller",
1257040,"喧嘩","けんか","to quarrel","waller",
1258520,"研究","けんきゅう","research","waller",
1258570,"研究室","けんきゅうしつ","study room,laboratory","waller",
1260000,"見物","けんぶつ","sightseeing","waller",
1307770,"子","こ","child","waller",
1004310,"斯う","こう","this way","waller",
1282490,"郊外","こうがい","outskirts","waller",
1282260,"講義","こうぎ","lecture","waller",
1278040,"工業","こうぎょう","the manufacturing industry","waller",
1283500,"高校","こうこう","high school","waller",
1283510,"高校生","こうこうせい","high school student","waller",
1578700,"工場","こうじょう","factory","waller",
1279590,"校長","こうちょう","headmaster","waller",
1272280,"交通","こうつう","traffic,transportation","waller",
1282340,"講堂","こうどう","auditorium","waller",
1283860,"高等学校","こうとうがっこう","high school","waller",
1274820,"公務員","こうむいん","government worker","waller",
1286400,"国際","こくさい","international","waller",
1360480,"心","こころ","core,heart","waller",
1270390,"御主人","ごしゅじん","(honorable) your husband","waller",
1267180,"故障","こしょう","to break-down","waller",
1593570,"ご存じ","ごぞんじ","knowing,acquaintance","waller",
1449530,"答","こたえ","response","waller",
1593590,,"ごちそう","a feast","waller",
2524270,,"こと","thing,matter","waller",
1348530,"小鳥","ことり","small bird","waller",
1004690,,"このあいだ","the other day,recently","waller",
1004710,,"このごろ","these days,nowadays","waller",
1295530,"細かい","こまかい","small, fine","waller",
1369900,"塵","ごみ","rubbish","waller",
1593410,"込む","こむ","to be crowded","waller",
1508750,"米","こめ","uncooked rice","waller",
2217040,,"ごらんになる","(respectful) to see","waller",
1004790,,"これから","after this","waller",
1593480,"怖い","こわい","frightening","waller",
1199890,"壊す","こわす","to break","waller",
1199900,"壊れる","こわれる","to be broken","waller",
1051970,,"コンサート","concert","waller",
1289370,"今度","こんど","now,next time","waller",
1053350,,"コンピュータ","computer","waller",
1053350,,"コンピューター","computer","waller",
1289520,"今夜","こんや","tonight","waller",
1293780,"最近","さいきん","latest,nowadays","waller",
1293810,"最後","さいご","last,end","waller",
1293990,"最初","さいしょ","beginning,first","waller",
1297110,"坂","さか","slope,hill","waller",
1593670,"探す","さがす","to look for","waller",
1184160,"下る","さがる","to get down,to descend","waller",
1379750,"盛ん","さかん","popularity,prosperous","waller",
1184170,"下げる","さげる","to hang,to lower,to move back","waller",
1291270,"差し上げる","さしあげる","(polite) to give","waller",
1005180,"先","さっき","some time ago","waller",
1579720,"寂しい","さびしい","lonely","waller",
1293640,"さ来月","さらいげつ","the month after next","waller",
1293650,"さ来週","さらいしゅう","the week after next","waller",
1057850,,"サラダ","salad","waller",
1403040,"騒ぐ","さわぐ","to make noise,to be excited","waller",
1357980,"触る","さわる","to touch","waller",
1303770,"産業","さんぎょう","industry","waller",
1058480,,"サンダル","sandal","waller",
1058580,,"サンドイッチ","sandwich","waller",
1304680,"残念","ざんねん","disappointment","waller",
1308090,"市","し","city","waller",
1315130,"字","じ","character","waller",
1312420,"試合","しあい","match,game","waller",
1594110,"仕方","しかた","method","waller",
1394730,"然る","しかる","a particular","waller",
1312350,"試験","しけん","examination","waller",
1313850,"事故","じこ","accident","waller",
1421210,"地震","じしん","earthquake","waller",
1316300,"時代","じだい","era","waller",
1185930,"下着","したぎ","underwear","waller",
1310260,"支度","したく","to prepare","waller",
1594400,,"しっかり","firmly,steadily","waller",
1320140,"失敗","しっぱい","failure,mistake","waller",
1595270,"辞典","じてん","dictionary","waller",
1490670,"品物","しなもの","goods","waller",
1304420,,"しばらく","little while","waller",
1446760,"島","しま","island","waller",
1308690,"市民","しみん","citizen","waller",
1314400,"事務所","じむしょ","office","waller",
1322700,"社会","しゃかい","society,public","waller",
1322920,"社長","しゃちょう","company president","waller",
1323500,,"じゃま","hindrance,intrusion","waller",
1065680,,"ジャム","jam","waller",
1318720,"自由","じゆう","freedom","waller",
1333090,"習慣","しゅうかん","custom,manners","waller",
1334080,"住所","じゅうしょ","an address,a residence","waller",
1335440,"柔道","じゅうどう","judo","waller",
1335080,"十分","じゅうぶん","enough","waller",
1339460,"出席","しゅっせき","to attend","waller",
1340000,"出発","しゅっぱつ","to depart","waller",
1329000,"趣味","しゅみ","hobby","waller",
1341670,"準備","じゅんび","to prepare","waller",
1351430,"紹介","しょうかい","introduction","waller",
1347870,"小学校","しょうがっこう","elementary school","waller",
1348430,"小説","しょうせつ","novel","waller",
1349610,"招待","しょうたい","to invite","waller",
1349480,"承知","しょうち","to consent","waller",
1347710,"将来","しょうらい","future,prospects","waller",
1358490,"食事","しょくじ","to have a meal","waller",
1358680,"食料品","しょくりょうひん","groceries","waller",
1345250,"女性","じょせい","woman","waller",
1420410,"知らせる","しらせる","to notify","waller",
1429060,"調べる","しらべる","to investigate","waller",
1367300,"人口","じんこう","population","waller",
1364670,"神社","じんじゃ","Shinto shrine","waller",
1365250,"親切","しんせつ","kindness","waller",
1360930,"心配","しんぱい","to worry","waller",
1362400,"新聞社","しんぶんしゃ","newspaper company","waller",
1371320,"水泳","すいえい","swimming","waller",
1371920,"水道","すいどう","water supply","waller",
1372800,,"ずいぶん","extremely","waller",
1372980,"数学","すうがく","mathematics,arithmetic","waller",
1066680,,"スーツ","suit","waller",
1066690,,"スーツケース","suitcase","waller",
1195970,"過ぎる","すぎる","to exceed","waller",
1586265,"空く","すく","to become empty","waller",
1068550,,"スクリーン","screen","waller",
1374550,"凄い","すごい","terrific","waller",
1365980,"進む","すすむ","to make progress","waller",
1006110,,"すっかり","completely","waller",
1006140,,"すっと","straight,all of a sudden","waller",
1070280,,"ステーキ","steak","waller",
1322320,"捨てる","すてる","to throw away","waller",
1070650,,"ステレオ","stereo","waller",
1291500,"砂","すな","sand","waller",
1397300,,"すばらしい","wonderful","waller",
1208640,"滑る","すべる","to slide,to slip","waller",
1246440,"隅","すみ","corner,nook","waller",
1295070,"済む","すむ","to finish","waller",
1567450,"掏摸","すり","pickpocket","waller",
1006280,,"すると","then","waller",
1378860,"生活","せいかつ","to live","waller",
1378990,"生産","せいさん","to produce","waller",
1375970,"政治","せいじ","politics,government","waller",
1381100,"西洋","せいよう","western countries","waller",
1373860,"世界","せかい","the world","waller",
1382250,"席","せき","seat","waller",
1386460,"説明","せつめい","explanation","waller",
1472800,"背中","せなか","back of the body","waller",
1374530,,"ぜひ","without fail","waller",
1374300,"世話","せわ","to look after","waller",
1391780,"線","せん","line","waller",
1395620,"全然","ぜんぜん","not entirely (used in a negative sentence)","waller",
1390360,"戦争","せんそう","war","waller",
1388410,"先輩","せんぱい","senior","waller",
1006610,,"そう","really","waller",
1401210,"相談","そうだん","to discuss","waller",
1160570,"育てる","そだてる","to rear,to bring up","waller",
1405890,"卒業","そつぎょう","graduation","waller",
1396840,"祖父","そふ","grandfather","waller",
1075500,,"ソフト","soft","waller",
1396860,"祖母","そぼ","grandmother","waller",
1007000,,"それで","because of that","waller",
1007040,,"それに","moreover","waller",
1007060,,"それほど","to that extent","waller",
1345605,,"そろそろ","gradually,soon","waller",
1007130,,"そんな","that sort of","waller",
2008740,,"そんなに","so much,like that","waller",
1411300,"退院","たいいん","to leave hospital","waller",
1413260,"大学生","だいがくせい","university student","waller",
1413940,"大事","だいじ","important,valuable,serious matter","waller",
1414470,"大体","だいたい","generally","waller",
1414580,"大抵","たいてい","usually","waller",
1075940,,"タイプ","type,style","waller",
1414920,"大分","だいぶ","greatly","waller",
1596780,"台風","たいふう","typhoon","waller",
1445790,"倒れる","たおれる","to break down","waller",
1007310,,"だから","so,therefore","waller",
1596930,"確か","たしか","definite","waller",
1404700,"足す","たす","to add a number","waller",
1518070,"訪ねる","たずねる","to visit","waller",
1369940,"尋ねる","たずねる","to ask","waller",
1376600,"正しい","ただしい","correct","waller",
1356750,"畳","たたみ","Japanese straw mat","waller",
1551530,"立てる","たてる","to stand something up","waller",
1257330,"建てる","たてる","to build","waller",
1556370,"例えば","たとえば","for example","waller",
1416700,"棚","たな","shelves","waller",
1207250,"楽しみ","たのしみ","joy","waller",
1207270,"楽む","たのしむ","to enjoy oneself","waller",
1634500,,"たまに","occasionally","waller",
1157080,"為","ため","in order to","waller",
1409110,,"だめ","no good","waller",
1404740,"足りる","たりる","to be enough","waller",
1420160,"男性","だんせい","male","waller",
1419860,"暖房","だんぼう","heating","waller",
1255060,"血","ち","blood","waller",
1077550,,"チェック","to check","waller",
1554820,"力","ちから","strength,power","waller",
1007560,,"ちっとも","not at all (used with a negative verb)","waller",
1007660,,"ちゃん","suffix for familiar female person","waller",
1426530,"注意","ちゅうい","caution","waller",
1423650,"中学校","ちゅうがっこう","junior high school,middle school","waller",
1426590,"注射","ちゅうしゃ","injection","waller",
1426920,"駐車場","ちゅうしゃじょう","parking lot","waller",
1421540,"地理","ちり","geography","waller",
1597780,"捕まえる","つかまえる","to seize","waller",
1255430,"月","つき","moon","waller",
1495740,"付く","つく","to be attached","waller",
1433680,"漬ける","つける","to soak,to pickle","waller",
1444980,"都合","つごう","circumstances,convenience","waller",
1441870,"伝える","つたえる","to report","waller",
1405790,"続く","つづく","to be continued","waller",
1405800,"続ける","つづける","to continue","waller",
1584060,"包む","つつむ","to wrap","waller",
1294330,"妻","つま","(humble) wife","waller",
1382980,"積もり","つもり","intention","waller",
1434120,"釣る","つる","to fish","waller",
1559290,"連れる","つれる","to lead","waller",
1427360,"丁寧","ていねい","polite","waller",
1079290,,"テキスト","text,text book","waller",
1437450,"適当","てきとう","suitability","waller",
1340460,,"できるだけ","as much as possible","waller",
1328190,"手伝う","てつだう","to assist","waller",
1080000,,"テニス","tennis","waller",
1328090,"手袋","てぶくろ","glove","waller",
1315240,"寺","てら","temple","waller",
1441390,"点","てん","point,dot","waller",
1440670,"店員","てんいん","shop assistant","waller",
1438770,"天気予報","てんきよほう","weather forecast","waller",
1443660,"電灯","でんとう","electric light","waller",
1443760,"電報","でんぽう","telegram","waller",
1440660,"展覧会","てんらんかい","exhibition","waller",
1621470,"都","と","metropolitan","waller",
1454180,"道具","どうぐ","tool,means","waller",
1449890,"到頭","とうとう","finally, after all","waller",
1451490,"動物園","どうぶつえん","zoo","waller",
1177820,"遠く","とおく","distant","waller",
1433030,"通る","とおる","to go through","waller",
1454670,"特に","とくに","particularly,especially","waller",
1455280,"特別","とくべつ","special","waller",
1349410,,"とこや","barber","waller",
1582200,"途中","とちゅう","on the way","waller",
1454750,"特急","とっきゅう","limited express train (faster than an express train)","waller",
1457210,"届ける","とどける","to reach","waller",
1474850,"泊まる","とまる","to lodge at","waller",
1310670,"止める","とめる","to stop something","waller",
1326830,"取り替える","とりかえる","to exchange","waller",
1599340,"泥棒","どろぼう","thief","waller",
1009320,,"どんどん","more and more","waller",
1599390,"直す","なおす","to fix,to repair","waller",
2846390,"直る","なおる","to be fixed,to be repaired","waller",
1599400,"治る","なおる","to be cured,to heal","waller",
1599420,"中々","なかなか","considerably","waller",
1229840,"泣く","なく","to weep","waller",
1529550,"無くなる","なくなる","to disappear,to get lost","waller",
1518540,"亡くなる","なくなる","to die","waller",
1447000,"投げる","なげる","to throw or cast away","waller",
1157090,,"なさる","(respectful) to do","waller",
1532910,"鳴る","なる","to sound","waller",
1375620,,"なるべく","as much as possible","waller",
1375820,,"なるほど","now I understand","waller",
1212670,"慣れる","なれる","to grow accustomed to","waller",
1599760,,"におい","a smell","waller",
1244310,"苦い","にがい","bitter","waller",
1599800,"二階建て","にかいだて","two storied","waller",
1450330,"逃げる","にげる","to escape","waller",
1463930,"日記","にっき","journal","waller",
1465720,"入院","にゅういん","to hospitalise","waller",
1465850,"入学","にゅうがく","to enter school or university","waller",
1314600,"似る","にる","to be similar","waller",
1367120,"人形","にんぎょう","doll, figure","waller",
1448440,"盗む","ぬすむ","to steal","waller",
1444270,"塗る","ぬる","to paint,to plaster","waller",
1467620,,"ぬれる","to get wet","waller",
1600160,,"ねだん","price","waller",
1467710,"熱","ねつ","fever","waller",
1467910,,"ねっしん","enthusiasm","waller",
1360320,"寝坊","ねぼう","sleeping in late","waller",
1529330,"眠い","ねむい","sleepy","waller",
1529390,"眠る","ねむる","to sleep","waller",
1304510,"残る","のこる","to remain","waller",
1600280,"喉","のど","throat","waller",
1600470,"乗り換える","のりかえる","to change between buses or trains","waller",
1600530,"乗り物","のりもの","vehicle","waller",
1546550,"葉","は","leaf","waller",
1355810,"場合","ばあい","situation","waller",
1100810,,"パート","part time","waller",
1473230,"倍","ばい","double","waller",
1472270,"拝見","はいけん","(humble) to look at","waller",
1313080,"歯医者","はいしゃ","dentist","waller",
1172660,"運ぶ","はこぶ","to transport","waller",
1307550,"始める","はじめる","to begin","waller",
1355850,"場所","ばしょ","location","waller",
1476430,"筈","はず","it should be so","waller",
1421630,"恥ずかしい","はずかしい","embarrassed","waller",
1101570,,"パソコン","personal computer","waller",
1477170,"発音","はつおん","pronunciation","waller",
1010150,,"はっきり","clearly","waller",
1194660,"花見","はなみ","cherry-blossom viewing","waller",
1555440,"林","はやし","woods,forester","waller",
1501620,"払う","はらう","to pay","waller",
1482340,"番組","ばんぐみ","television or radio program","waller",
1480670,"反対","はんたい","opposition","waller",
1096770,,"ハンドバッグ","handbag　","waller",
1463770,"日","ひ","day, sun","waller",
1193610,"火","ひ","fire","waller",
1106400,,"ピアノ","piano","waller",
1556630,"冷える","ひえる","to grow cold","waller",
1272780,"光","ひかり","light","waller",
1272820,"光る","ひかる","to shine,to glitter","waller",
1601650,"引き出し","ひきだし","drawer,drawing out","waller",
1601660,"引き出す","ひきだす","to withdraw","waller",
1601810,"髭","ひげ","beard","waller",
1485520,"飛行場","ひこうじょう","airport","waller",
1227370,"久しぶり","ひさしぶり","after a long time","waller",
1486460,"美術館","びじゅつかん","art gallery","waller",
1484930,"非常に","ひじょうに","extremely","waller",
1226360,,"びっくり","to be surprised","waller",
1169340,"引っ越す","ひっこす","to move house","waller",
1487660,"必要","ひつよう","necessary","waller",
1602060,,"ひどい","awful","waller",
1202440,"開く","ひらく","to open an event","waller",
1106010,,"ビル","building or bill","waller",
1581710,"昼間","ひるま","daytime,during the day","waller",
1426290,"昼休み","ひるやすみ","noon break","waller",
1332570,"拾う","ひろう","to pick up,to gather","waller",
1108180,,"ファックス","fax","waller",
1602440,"増える","ふえる","to increase","waller",
1362640,"深い","ふかい","deep","waller",
1501350,"複雑","ふくざつ","complexity,complication","waller",
1500800,"復習","ふくしゅう","revision","waller",
1499460,"部長","ぶちょう","head of a section","waller",
1497190,"普通","ふつう","usually, or a train that stops at every station","waller",
1499230,"葡萄","ぶどう","grapes","waller",
1408220,"太る","ふとる","to become fat","waller",
1496890,"布団","ふとん","Japanese bedding, futon","waller",
1602800,"舟","ふね","ship","waller",
1494860,"不便","ふべん","inconvenience","waller",
1450270,"踏む","ふむ","to step on","waller",
1282770,"降り出す","ふりだす","to start to rain","waller",
1116840,,"プレゼント","present","waller",
1505120,"文化","ぶんか","culture","waller",
1505190,"文学","ぶんがく","literature","waller",
1505600,"文法","ぶんぽう","grammar","waller",
1509430,"別","べつ","different","waller",
1120010,,"ベル","bell","waller",
1510640,"変","へん","strange","waller",
1512220,"返事","へんじ","reply","waller",
1520120,"貿易","ぼうえき","trade","waller",
1516750,"放送","ほうそう","to broadcast","waller",
1517480,"法律","ほうりつ","law","waller",
1521400,"僕","ぼく","I (used by males)","waller",
1376310,"星","ほし","star","waller",
1436510,"程","ほど","extent","waller",
1522050,,"ほとんど","mostly","waller",
1603550,,"ほめる","to praise","waller",
1523400,"翻訳","ほんやく","translation","waller",
1302070,"参る","まいる","(humble) to go,to come","waller",
1497980,"負ける","まける","to lose","waller",
1364360,,"まじめ","serious","waller",
1387240,"先ず","まず","first of all","waller",
1524990,,"または","or,otherwise","waller",
1215330,"間違える","まちがえる","to make a mistake","waller",
1215260,"間に合う","まにあう","to be in time for","waller",
1604290,"周り","まわり","surroundings","waller",
1604300,"回る","まわる","to go around","waller",
1526920,"漫画","まんが","comic","waller",
1604350,"真ん中","まんなか","middle","waller",
1259140,"見える","みえる","to be in sight","waller",
1267280,"湖","みずうみ","lake","waller",
1527040,"味噌","みそ","bean paste","waller",
1604550,"見つかる","みつかる","to be discovered","waller",
1604570,"見つける","みつける","to discover","waller",
1202150,"皆","みな","everybody","waller",
1279990,"港","みなと","harbour","waller",
1604800,"向かう","むかう","to face","waller",
1253190,"迎える","むかえる","to go out to meet","waller",
1382370,"昔","むかし","olden days, former","waller",
1426680,"虫","むし","insect","waller",
1404390,"息子","むすこ","(humble) son","waller",
1531190,"娘","むすめ","(humble) daughter","waller",
1530970,"無理","むり","impossible","waller",
1346370,"召し上がる","めしあがる","(polite) to eat","waller",
1431850,"珍しい","めずらしい","rare","waller",
1362950,"申し上げる","もうしあげる","(humble) to say,to tell","waller",
1363090,"申す","もうす","(humble) to be called,to say","waller",
2015610,,"もうすぐ","soon","waller",
2607730,,"もし","if","waller",
1535780,,"もちろん","of course","waller",
1293700,"最も","もっとも","extremely","waller",
1535880,"戻る","もどる","to turn back","waller",
1534870,"木綿","もめん","cotton","waller",
1535910,,"もらう","to receive","waller",
1362490,"森","もり","forest","waller",
1350600,"焼く","やく","to bake,to grill","waller",
1538130,"約束","やくそく","promise","waller",
1537980,"役に立つ","やくにたつ","to be helpful","waller",
1350610,"焼ける","やける","to burn,to be roasted","waller",
1539040,"優しい","やさしい","kind","waller",
1605510,"痩せる","やせる","to become thin","waller",
1012800,,"やっと","at last","waller",
2772770,,"やはり","as I thought,absolutely","waller",
1012810,,"やっぱり","as I thought,absolutely","waller",
1310640,"止む","やむ","to stop","waller",
1310680,"止める","やめる","to stop","waller",
1605630,"柔らかい","やわらかい","soft","waller",
1448580,"湯","ゆ","hot water","waller",
1538820,"輸出","ゆしゅつ","to export","waller",
1538870,"輸入","ゆにゅう","to import","waller",
1309650,"指","ゆび","finger","waller",
1310050,"指輪","ゆびわ","finger ring","waller",
1529410,"夢","ゆめ","dream","waller",
1545710,"揺れる","ゆれる","to shake,to sway","waller",
1546200,"用","よう","use","waller",
1546220,"用意","ようい","preparation","waller",
1546300,"用事","ようじ","things to do","waller",
1179005,"汚れる","よごれる","to get dirty","waller",
1543070,"予習","よしゅう","preparation for a lesson","waller",
1543240,"予定","よてい","arrangement","waller",
1543750,"予約","よやく","reservation","waller",
1219680,"寄る","よる","to visit","waller",
1218760,"喜ぶ","よろこぶ","to be delighted","waller",
1224880,,"よろしい","(respectful) OK,all right","waller",
1550140,"理由","りゆう","reason","waller",
1549660,"利用","りよう","utilization","waller",
1554010,"両方","りょうほう","both sides","waller",
1553130,"旅館","りょかん","Japanese hotel","waller",
1552760,"留守","るす","absence","waller",
1557290,"冷房","れいぼう","air conditioning","waller",
1558050,"歴史","れきし","history","waller",
1145130,,"レジ","register","waller",
1145990,,"レポート","report","waller",
1145990,,"リポート","report","waller",
1559900,"連絡","れんらく","contact","waller",
1148520,,"ワープロ","word processor","waller",
1501660,"沸かす","わかす","to boil,to heat","waller",
1606590,"別れる","わかれる","to separate","waller",
1606680,"沸く","わく","to boil, to grow hot,to get excited","waller",
1538330,"訳","わけ","meaning,reason","waller",
